"지역별(1)","지역별(2)",지역별(3),상품군별(1),상품군별(2),2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4 p)
"합계","소계",소계,합계,소계,378879,382844,375879,509530,422330,392028,389071,497955,446312,411784,447285,602501,537696,532032,511844,662011,692111,687218,695752,896621,905483,889921,842000,998645,979379,914421,958104,1215815,1387318,1121238,1097486,1509169,1371419,1302057,1306548,1343954,1598423
"합계","소계",소계,컴퓨터 및 주변기기,소계,7857,7232,8767,12159,11401,10575,8149,13115,12454,8907,10499,12338,7123,6799,10035,13941,12527,12543,11321,17197,13180,10493,9408,17055,12348,11167,9492,19129,19096,12646,12098,21662,24298,18972,20429,24874,30801
"합계","소계",소계,가전·전자·통신기기,소계,18924,18173,23375,42605,31703,28755,29152,50393,37280,35107,44531,75184,57502,56726,55514,107531,102167,98533,98704,151967,141787,111914,97834,111482,90812,73828,59015,114376,131603,66291,56992,108149,77508,63235,72027,83723,96196
"합계","소계",소계,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69356
"합계","소계",소계,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26840
"합계","소계",소계,소프트웨어,소계,905,949,899,1250,1254,1018,1171,1472,1302,996,1093,1762,1879,1870,1879,3109,2863,2665,2665,3045,3107,2975,3324,3486,3191,3572,3763,4580,6856,4170,3839,5537,3609,3107,2997,3011,3482
"합계","소계",소계,서 적,소계,2954,2345,2746,2827,3367,3163,3424,4094,4057,2903,3264,4134,4846,3993,3905,5489,5490,4811,5474,5570,5704,5546,5213,5912,6480,5859,7549,9143,13221,10029,9021,11903,11552,10513,9032,9351,10808
"합계","소계",소계,사무·문구,소계,1423,1062,1232,1796,1960,1466,1768,2259,2111,1557,1910,2798,2234,1845,1836,2515,2895,2575,2726,3754,5064,3637,3594,3996,3842,4213,4229,5166,9659,5102,4951,6750,6865,6368,6983,8566,10429
"합계","소계",소계,음반·비디오·악기,소계,1927,1930,1740,1857,1916,1890,1746,2177,1817,1733,1830,1862,1913,1684,1705,1851,2292,2338,2100,2352,2294,2247,2093,2070,2273,2166,2460,3106,3732,3321,3101,3596,3031,3493,3600,3372,4634
"합계","소계",소계,의류 및 패션 관련 상품,소계,174202,187421,167199,247712,170722,151720,149163,216888,170345,149361,164227,245731,198355,192620,170694,249895,248812,241440,247031,344993,337310,341826,316168,412873,378377,327859,364877,488847,496732,427654,417096,643005,572695,518998,513531,549093,712002
"합계","소계",소계,스포츠·레저용품,소계,4914,6203,7465,7499,6623,7716,8688,7069,6684,7443,8735,9811,9011,9905,9445,10941,10285,13209,13792,15872,17939,17640,15248,13776,13033,23291,26070,29160,38053,32094,35006,44207,36520,40819,40822,37698,57231
"합계","소계",소계,화장품,소계,26957,24364,22561,29853,30196,26913,27693,34096,33428,28657,28766,40664,39173,35041,30403,44158,42534,38878,38247,45951,49714,47897,44808,51132,52629,45484,47632,61237,67807,55288,50626,72965,65650,62530,61368,61182,74276
